,sample_id,video_path,label,crush,ego,weather,timing,crush+ego
0,TRAIN_0000,./train/TRAIN_0000.mp4,7,1,0,0,0,2
1,TRAIN_0001,./train/TRAIN_0001.mp4,7,1,0,0,0,2
2,TRAIN_0002,./train/TRAIN_0002.mp4,0,0,-1,-1,-1,0
3,TRAIN_0003,./train/TRAIN_0003.mp4,0,0,-1,-1,-1,0
4,TRAIN_0004,./train/TRAIN_0004.mp4,1,1,1,0,0,1
5,TRAIN_0005,./train/TRAIN_0005.mp4,0,0,-1,-1,-1,0
6,TRAIN_0006,./train/TRAIN_0006.mp4,3,1,1,1,0,1
7,TRAIN_0007,./train/TRAIN_0007.mp4,7,1,0,0,0,2
8,TRAIN_0008,./train/TRAIN_0008.mp4,0,0,-1,-1,-1,0
9,TRAIN_0009,./train/TRAIN_0009.mp4,3,1,1,1,0,1
10,TRAIN_0010,./train/TRAIN_0010.mp4,0,0,-1,-1,-1,0
11,TRAIN_0011,./train/TRAIN_0011.mp4,1,1,1,0,0,1
12,TRAIN_0012,./train/TRAIN_0012.mp4,0,0,-1,-1,-1,0
13,TRAIN_0013,./train/TRAIN_0013.mp4,0,0,-1,-1,-1,0
14,TRAIN_0014,./train/TRAIN_0014.mp4,0,0,-1,-1,-1,0
15,TRAIN_0015,./train/TRAIN_0015.mp4,1,1,1,0,0,1
16,TRAIN_0016,./train/TRAIN_0016.mp4,7,1,0,0,0,2
17,TRAIN_0017,./train/TRAIN_0017.mp4,1,1,1,0,0,1
18,TRAIN_0018,./train/TRAIN_0018.mp4,0,0,-1,-1,-1,0
19,TRAIN_0019,./train/TRAIN_0019.mp4,0,0,-1,-1,-1,0
20,TRAIN_0020,./train/TRAIN_0020.mp4,1,1,1,0,0,1
21,TRAIN_0021,./train/TRAIN_0021.mp4,7,1,0,0,0,2
22,TRAIN_0022,./train/TRAIN_0022.mp4,0,0,-1,-1,-1,0
23,TRAIN_0023,./train/TRAIN_0023.mp4,4,1,1,1,1,1
24,TRAIN_0024,./train/TRAIN_0024.mp4,0,0,-1,-1,-1,0
25,TRAIN_0025,./train/TRAIN_0025.mp4,0,0,-1,-1,-1,0
26,TRAIN_0026,./train/TRAIN_0026.mp4,0,0,-1,-1,-1,0
27,TRAIN_0027,./train/TRAIN_0027.mp4,0,0,-1,-1,-1,0
28,TRAIN_0028,./train/TRAIN_0028.mp4,0,0,-1,-1,-1,0
29,TRAIN_0029,./train/TRAIN_0029.mp4,0,0,-1,-1,-1,0
30,TRAIN_0030,./train/TRAIN_0030.mp4,0,0,-1,-1,-1,0
31,TRAIN_0031,./train/TRAIN_0031.mp4,1,1,1,0,0,1
32,TRAIN_0032,./train/TRAIN_0032.mp4,0,0,-1,-1,-1,0
33,TRAIN_0033,./train/TRAIN_0033.mp4,0,0,-1,-1,-1,0
34,TRAIN_0034,./train/TRAIN_0034.mp4,0,0,-1,-1,-1,0
35,TRAIN_0035,./train/TRAIN_0035.mp4,4,1,1,1,1,1
36,TRAIN_0036,./train/TRAIN_0036.mp4,0,0,-1,-1,-1,0
37,TRAIN_0037,./train/TRAIN_0037.mp4,7,1,0,0,0,2
38,TRAIN_0038,./train/TRAIN_0038.mp4,2,1,1,0,1,1
39,TRAIN_0039,./train/TRAIN_0039.mp4,0,0,-1,-1,-1,0
40,TRAIN_0040,./train/TRAIN_0040.mp4,0,0,-1,-1,-1,0
41,TRAIN_0041,./train/TRAIN_0041.mp4,0,0,-1,-1,-1,0
42,TRAIN_0042,./train/TRAIN_0042.mp4,0,0,-1,-1,-1,0
43,TRAIN_0043,./train/TRAIN_0043.mp4,0,0,-1,-1,-1,0
